EXPORTED CROSS SECTION DATA
504 2 2
x coordinate
Electron Conc
3.1560000000e-02 3.7895601486e+06 
3.1650000000e-02 3.7904162738e+06 
3.1660000000e-02 3.7905531720e+06 
3.1750000000e-02 3.7914088209e+06 
3.1760000000e-02 3.7915456229e+06 
3.1850000000e-02 3.7924008044e+06 
3.1860000000e-02 3.7925375092e+06 
3.1950000000e-02 3.7933922144e+06 
3.1960000000e-02 3.7935288220e+06 
3.2050000000e-02 3.7943830419e+06 
3.2060000000e-02 3.7945195523e+06 
3.2150000000e-02 3.7953732958e+06 
3.2160000000e-02 3.7955097070e+06 
3.2250000000e-02 3.7963629652e+06 
3.2260000000e-02 3.7964992781e+06 
3.2350000000e-02 3.7973520420e+06 
3.2360000000e-02 3.7974882557e+06 
3.2450000000e-02 3.7983405343e+06 
3.2460000000e-02 3.7984766477e+06 
3.2550000000e-02 3.7993284320e+06 
3.2560000000e-02 3.7994644452e+06 
3.2650000000e-02 3.8003157262e+06 
3.2660000000e-02 3.8004516381e+06 
3.2750000000e-02 3.8013024248e+06 
3.2760000000e-02 3.8014382354e+06 
3.2850000000e-02 3.8022885099e+06 
3.2860000000e-02 3.8024242192e+06 
3.2950000000e-02 3.8032739904e+06 
3.2960000000e-02 3.8034095965e+06 
3.3050000000e-02 3.8042588643e+06 
3.3060000000e-02 3.8043943681e+06 
3.3150000000e-02 3.8052431147e+06 
3.3160000000e-02 3.8053785152e+06 
3.3250000000e-02 3.8062267495e+06 
3.3260000000e-02 3.8063620457e+06 
3.3350000000e-02 3.8072097587e+06 
3.3360000000e-02 3.8073449506e+06 
3.3450000000e-02 3.8081921424e+06 
3.3460000000e-02 3.8083272290e+06 
3.3550000000e-02 3.8091738995e+06 
3.3560000000e-02 3.8093088818e+06 
3.3650000000e-02 3.8101550220e+06 
3.3660000000e-02 3.8102898980e+06 
3.3750000000e-02 3.8111354990e+06 
3.3760000000e-02 3.8112702686e+06 
3.3850000000e-02 3.8121153484e+06 
3.3860000000e-02 3.8122500106e+06 
3.3950000000e-02 3.8130945422e+06 
3.3960000000e-02 3.8132290981e+06 
3.4050000000e-02 3.8140730904e+06 
3.4060000000e-02 3.8142075380e+06 
3.4150000000e-02 3.8150509910e+06 
3.4160000000e-02 3.8151853303e+06 
3.4250000000e-02 3.8160282351e+06 
3.4260000000e-02 3.8161624659e+06 
3.4350000000e-02 3.8170048225e+06 
3.4360000000e-02 3.8171389430e+06 
3.4450000000e-02 3.8179807424e+06 
3.4460000000e-02 3.8181147546e+06 
3.4550000000e-02 3.8189560057e+06 
3.4560000000e-02 3.8190899065e+06 
3.4650000000e-02 3.8199305914e+06 
3.4660000000e-02 3.8200643828e+06 
3.4750000000e-02 3.8209045105e+06 
3.4760000000e-02 3.8210381895e+06 
3.4850000000e-02 3.8218777510e+06 
3.4860000000e-02 3.8220113186e+06 
3.4950000000e-02 3.8228503049e+06 
3.4960000000e-02 3.8229837611e+06 
3.5050000000e-02 3.8238221903e+06 
3.5060000000e-02 3.8239555330e+06 
3.5150000000e-02 3.8247933780e+06 
3.5160000000e-02 3.8249266073e+06 
3.5250000000e-02 3.8257638771e+06 
3.5260000000e-02 3.8258969941e+06 
3.5350000000e-02 3.8267336886e+06 
3.5360000000e-02 3.8268666911e+06 
3.5450000000e-02 3.8277028015e+06 
3.5460000000e-02 3.8278356886e+06 
3.5550000000e-02 3.8286712058e+06 
3.5560000000e-02 3.8288039795e+06 
3.5650000000e-02 3.8296389125e+06 
3.5660000000e-02 3.8297715697e+06 
3.5750000000e-02 3.8306059096e+06 
3.5760000000e-02 3.8307384514e+06 
3.5850000000e-02 3.8315721981e+06 
3.5860000000e-02 3.8317046224e+06 
3.5950000000e-02 3.8325377670e+06 
3.5960000000e-02 3.8326700758e+06 
3.6050000000e-02 3.8335026272e+06 
3.6060000000e-02 3.8336348186e+06 
3.6150000000e-02 3.8344667589e+06 
