EXPORTED CROSS SECTION DATA
513 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
3.2210000000e-02 -1.9473449161e-17 -1.4882518695e+00 -6.5769728010e-02 
3.2220000000e-02 -2.2089285611e-17 -1.4881502416e+00 -6.5668100223e-02 
3.2310000000e-02 -3.2697955630e-17 -1.4869146751e+00 -6.4432529944e-02 
3.2320000000e-02 -3.0954064668e-17 -1.4868146801e+00 -6.4332534818e-02 
3.2410000000e-02 -2.0345394649e-17 -1.4855989529e+00 -6.3116805662e-02 
3.2420000000e-02 -1.9473449161e-17 -1.4855005522e+00 -6.3018404978e-02 
3.2510000000e-02 1.7438909696e-18 -1.4843041930e+00 -6.1822052425e-02 
3.2520000000e-02 -8.7194548101e-19 -1.4842073492e+00 -6.1725209008e-02 
3.2610000000e-02 -1.1480615500e-17 -1.4830299239e+00 -6.0547781381e-02 
3.2620000000e-02 -1.0608670019e-17 -1.4829346022e+00 -6.0452459100e-02 
3.2710000000e-02 -1.0608670019e-17 -1.4817756578e+00 -5.9293517291e-02 
3.2720000000e-02 -9.7367245380e-18 -1.4816818216e+00 -5.9199680990e-02 
3.2810000000e-02 8.7194548101e-19 -1.4805409425e+00 -5.8058797995e-02 
3.2820000000e-02 -8.7194548101e-19 -1.4804485577e+00 -5.7966413511e-02 
3.2910000000e-02 -8.7194548101e-19 -1.4793253187e+00 -5.6843173970e-02 
3.2920000000e-02 0.0000000000e+00 -1.4792343527e+00 -5.6752208053e-02 
3.3010000000e-02 -2.1217340130e-17 -1.4781283472e+00 -5.5646208154e-02 
3.3020000000e-02 -2.1217340130e-17 -1.4780387680e+00 -5.5556628489e-02 
3.3110000000e-02 -1.0608670019e-17 -1.4769496172e+00 -5.4467475419e-02 
3.3120000000e-02 -1.2352560989e-17 -1.4768613922e+00 -5.4379250553e-02 
3.3210000000e-02 -1.7438909696e-18 -1.4757887080e+00 -5.3306562218e-02 
3.3220000000e-02 0.0000000000e+00 -1.4757018075e+00 -5.3219661567e-02 
3.3310000000e-02 -2.1217340130e-17 -1.4746452110e+00 -5.2163066128e-02 
3.3320000000e-02 -1.9473449161e-17 -1.4745596047e+00 -5.2077459928e-02 
3.3410000000e-02 -8.8647790494e-18 -1.4735187356e+00 -5.1036595989e-02 
3.3420000000e-02 -1.0608670019e-17 -1.4734343946e+00 -5.0952255295e-02 
3.3510000000e-02 -3.1826010149e-17 -1.4724089109e+00 -4.9926770792e-02 
3.3520000000e-02 -3.1390037407e-17 -1.4723258078e+00 -4.9843667420e-02 
3.3610000000e-02 -1.5477032333e-17 -1.4713153677e+00 -4.8833220271e-02 
3.3620000000e-02 -1.5913005075e-17 -1.4712334746e+00 -4.8751326818e-02 
3.3710000000e-02 0.0000000000e+00 -1.4702377268e+00 -4.7755583809e-02 
3.3720000000e-02 0.0000000000e+00 -1.4701570162e+00 -4.7674873594e-02 
3.3810000000e-02 -1.0608670019e-17 -1.4691756559e+00 -4.6693510568e-02 
3.3820000000e-02 -1.1480615500e-17 -1.4690961028e+00 -4.6613957632e-02 
3.3910000000e-02 -1.6784950556e-17 -1.4681287973e+00 -4.5646659119e-02 
3.3920000000e-02 -1.5477032333e-17 -1.4680503766e+00 -4.5568238185e-02 
3.4010000000e-02 5.7403077700e-18 -1.4670968395e+00 -4.4614697030e-02 
3.4020000000e-02 6.6122532533e-18 -1.4670195261e+00 -4.4537383506e-02 
3.4110000000e-02 -3.9964168027e-18 -1.4660794432e+00 -4.3597301057e-02 
