EXPORTED CROSS SECTION DATA
60 2 2
x coordinate
Electron Conc
5.1190000000e-02 0.0000000000e+00 
6.3110000000e-02 0.0000000000e+00 
1.0150000000e-01 0.0000000000e+00 
1.0321000000e-01 0.0000000000e+00 
1.0869000000e-01 0.0000000000e+00 
1.0988000000e-01 0.0000000000e+00 
1.1369000000e-01 0.0000000000e+00 
1.1488000000e-01 0.0000000000e+00 
1.1869000000e-01 0.0000000000e+00 
1.1988000000e-01 0.0000000000e+00 
1.2369000000e-01 0.0000000000e+00 
1.2488000000e-01 0.0000000000e+00 
1.2869000000e-01 0.0000000000e+00 
1.2988000000e-01 0.0000000000e+00 
1.3369000000e-01 0.0000000000e+00 
1.3473000000e-01 0.0000000000e+00 
1.3807000000e-01 0.0000000000e+00 
1.3910000000e-01 0.0000000000e+00 
1.4244000000e-01 0.0000000000e+00 
1.4348000000e-01 0.0000000000e+00 
1.4682000000e-01 0.0000000000e+00 
1.4785000000e-01 0.0000000000e+00 
1.5119000000e-01 0.0000000000e+00 
1.5119000000e-01 1.4977087000e-03 
1.5238000000e-01 9.5485196119e+01 
1.5619000000e-01 4.0294270500e+02 
1.5738000000e-01 2.5689283288e+07 
1.6119000000e-01 1.0840747800e+08 
1.6238000000e-01 2.3831271328e+18 
1.6619000000e-01 1.0056796500e+19 
1.6619000000e-01 1.0056796500e+19 
1.6738000000e-01 7.7262348514e+18 
1.7119000000e-01 2.2182634300e+17 
1.7238000000e-01 1.7096161969e+17 
1.7619000000e-01 7.1772106071e+15 
1.7738000000e-01 5.6808469100e+15 
1.8119000000e-01 8.6255582266e+14 
1.8238000000e-01 7.2769940560e+14 
1.8619000000e-01 2.9346174495e+14 
1.8738000000e-01 2.6616214779e+14 
1.9119000000e-01 1.7825744495e+14 
1.9238000000e-01 1.6966737741e+14 
1.9619000000e-01 1.4200735766e+14 
1.9738000000e-01 1.3847871998e+14 
2.0119000000e-01 1.2711650055e+14 
2.0238000000e-01 1.2503917970e+14 
2.0619000000e-01 1.1835019435e+14 
2.0738000000e-01 1.1613160975e+14 
2.1119000000e-01 1.0898774217e+14 
2.1238000000e-01 1.0535395700e+14 
2.1619000000e-01 9.3653123518e+13 
2.1717000000e-01 9.1051505722e+13 
2.2031000000e-01 8.2674269330e+13 
2.2244000000e-01 7.7995520894e+13 
2.2933000000e-01 6.2929916518e+13 
2.3401000000e-01 5.6229063508e+13 
2.4910000000e-01 3.4652311018e+13 
2.5936000000e-01 2.8669956267e+13 
2.9243000000e-01 9.4068485702e+12 
3.1493000000e-01 7.3062904138e+12 
