EXPORTED CROSS SECTION DATA
60 3 3
x coordinate
Electron QFL
Conduction Band Energy
8.0000000000e-02 0.0000000000e+00 0.0000000000e+00 
9.1920000000e-02 0.0000000000e+00 0.0000000000e+00 
1.3031000000e-01 0.0000000000e+00 0.0000000000e+00 
1.3202000000e-01 0.0000000000e+00 0.0000000000e+00 
1.3750000000e-01 0.0000000000e+00 0.0000000000e+00 
1.3868000000e-01 0.0000000000e+00 0.0000000000e+00 
1.4250000000e-01 0.0000000000e+00 0.0000000000e+00 
1.4368000000e-01 0.0000000000e+00 0.0000000000e+00 
1.4750000000e-01 0.0000000000e+00 0.0000000000e+00 
1.4868000000e-01 0.0000000000e+00 0.0000000000e+00 
1.5250000000e-01 0.0000000000e+00 0.0000000000e+00 
1.5368000000e-01 0.0000000000e+00 0.0000000000e+00 
1.5750000000e-01 0.0000000000e+00 0.0000000000e+00 
1.5868000000e-01 0.0000000000e+00 0.0000000000e+00 
1.6250000000e-01 0.0000000000e+00 0.0000000000e+00 
1.6354000000e-01 0.0000000000e+00 0.0000000000e+00 
1.6688000000e-01 0.0000000000e+00 0.0000000000e+00 
1.6791000000e-01 0.0000000000e+00 0.0000000000e+00 
1.7125000000e-01 0.0000000000e+00 0.0000000000e+00 
1.7229000000e-01 0.0000000000e+00 0.0000000000e+00 
1.7563000000e-01 0.0000000000e+00 0.0000000000e+00 
1.7666000000e-01 0.0000000000e+00 0.0000000000e+00 
1.8000000000e-01 0.0000000000e+00 0.0000000000e+00 
1.8000000000e-01 -9.1844924300e-17 1.5163801200e+00 
1.8118000000e-01 -2.6552323992e-17 1.4354159660e+00 
1.8500000000e-01 1.8368984900e-16 1.1747113900e+00 
1.8618000000e-01 1.8368984900e-16 1.0937472331e+00 
1.9000000000e-01 4.3528400237e-17 8.3304264800e-01 
1.9118000000e-01 5.4410500237e-18 6.0447428544e-01 
1.9500000000e-01 2.2961231100e-17 -1.3151584200e-01 
1.9500000000e-01 2.2961231100e-17 -1.3151584200e-01 
1.9618000000e-01 2.4321493612e-17 -9.2705943445e-02 
2.0000000000e-01 2.8701538900e-17 3.2261929900e-02 
2.0118000000e-01 2.1900226364e-17 5.5566081819e-02 
2.0500000000e-01 3.5040362153e-17 1.3060545100e-01 
2.0618000000e-01 3.5040362153e-17 1.4544625242e-01 
2.1000000000e-01 3.5040362153e-17 1.9323363300e-01 
2.1118000000e-01 3.5040362153e-17 2.0108311570e-01 
2.1500000000e-01 0.0000000000e+00 2.2635845000e-01 
2.1618000000e-01 0.0000000000e+00 2.3003786280e-01 
2.2000000000e-01 3.5040362153e-17 2.4188557276e-01 
2.2118000000e-01 2.4158262105e-17 2.4356412418e-01 
2.2500000000e-01 2.4158262105e-17 2.4896905976e-01 
2.2618000000e-01 3.5040362153e-17 2.4977452445e-01 
2.3000000000e-01 0.0000000000e+00 2.5236812229e-01 
2.3118000000e-01 0.0000000000e+00 2.5286040546e-01 
2.3500000000e-01 3.5040362153e-17 2.5444555958e-01 
2.3618000000e-01 2.4158262105e-17 2.5497067309e-01 
2.4000000000e-01 -4.5922462200e-17 2.5666154468e-01 
2.4118000000e-01 -3.5040362153e-17 2.5759063876e-01 
2.4500000000e-01 3.5040362153e-17 2.6058233542e-01 
2.4598000000e-01 4.5922462200e-17 2.6134631030e-01 
2.4912000000e-01 1.0882100047e-17 2.6380632010e-01 
2.5125000000e-01 0.0000000000e+00 2.6547828953e-01 
2.5814000000e-01 3.5040362153e-17 2.7086205475e-01 
2.6282000000e-01 4.5922462200e-17 2.7451770381e-01 
2.7791000000e-01 4.5922462200e-17 2.8628894640e-01 
2.8817000000e-01 2.4158262105e-17 2.9427781394e-01 
3.2123000000e-01 -1.0882100047e-17 3.2000207881e-01 
3.4374000000e-01 -1.0882100047e-17 3.3748082170e-01 
