EXPORTED CROSS SECTION DATA
60 2 2
x coordinate
Electron Conc
5.1190000000e-02 0.0000000000e+00 
6.3110000000e-02 0.0000000000e+00 
1.0150000000e-01 0.0000000000e+00 
1.0321000000e-01 0.0000000000e+00 
1.0869000000e-01 0.0000000000e+00 
1.0988000000e-01 0.0000000000e+00 
1.1369000000e-01 0.0000000000e+00 
1.1488000000e-01 0.0000000000e+00 
1.1869000000e-01 0.0000000000e+00 
1.1988000000e-01 0.0000000000e+00 
1.2369000000e-01 0.0000000000e+00 
1.2488000000e-01 0.0000000000e+00 
1.2869000000e-01 0.0000000000e+00 
1.2988000000e-01 0.0000000000e+00 
1.3369000000e-01 0.0000000000e+00 
1.3473000000e-01 0.0000000000e+00 
1.3807000000e-01 0.0000000000e+00 
1.3910000000e-01 0.0000000000e+00 
1.4244000000e-01 0.0000000000e+00 
1.4348000000e-01 0.0000000000e+00 
1.4682000000e-01 0.0000000000e+00 
1.4785000000e-01 0.0000000000e+00 
1.5119000000e-01 0.0000000000e+00 
1.5119000000e-01 1.0613033200e-07 
1.5238000000e-01 1.3813416597e-02 
1.5619000000e-01 5.8292276300e-02 
1.5738000000e-01 7.5870439813e+03 
1.6119000000e-01 3.2017137900e+04 
1.6238000000e-01 4.8192207820e+18 
1.6619000000e-01 2.0337111700e+19 
1.6619000000e-01 2.0337111700e+19 
1.6738000000e-01 1.5657133734e+19 
1.7119000000e-01 5.8760468124e+17 
1.7238000000e-01 4.5175616422e+17 
1.7619000000e-01 1.4323940124e+16 
1.7738000000e-01 1.1231315297e+16 
1.8119000000e-01 1.2730634224e+15 
1.8238000000e-01 1.0551674508e+15 
1.8619000000e-01 3.5354242771e+14 
1.8738000000e-01 3.1571574477e+14 
1.9119000000e-01 1.9391382495e+14 
1.9238000000e-01 1.8290102992e+14 
1.9619000000e-01 1.4743982918e+14 
1.9738000000e-01 1.4313536094e+14 
2.0119000000e-01 1.2927496861e+14 
2.0238000000e-01 1.2690962809e+14 
2.0619000000e-01 1.1929322321e+14 
2.0738000000e-01 1.1697109359e+14 
2.1119000000e-01 1.0949381790e+14 
2.1238000000e-01 1.0584265188e+14 
2.1619000000e-01 9.4085863193e+13 
2.1717000000e-01 9.1471868145e+13 
2.2031000000e-01 8.3054784178e+13 
2.2244000000e-01 7.8353934794e+13 
2.2933000000e-01 6.3217174445e+13 
2.3401000000e-01 5.6485105725e+13 
2.4910000000e-01 3.4807840172e+13 
2.5936000000e-01 2.8798304715e+13 
2.9243000000e-01 9.4476552668e+12 
3.1493000000e-01 7.3379507981e+12 
