EXPORTED CROSS SECTION DATA
284 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
6.3145000000e-01 0.0000000000e+00 -4.7871297705e-01 6.0128702295e-01 
6.4011000000e-01 0.0000000000e+00 -4.7353578494e-01 6.0646421506e-01 
6.4107000000e-01 0.0000000000e+00 -4.7288852539e-01 6.0711147461e-01 
6.4973000000e-01 0.0000000000e+00 -4.6829339110e-01 6.1170660890e-01 
6.5068000000e-01 0.0000000000e+00 -4.6771820943e-01 6.1228179057e-01 
6.5935000000e-01 0.0000000000e+00 -4.6362633671e-01 6.1637366329e-01 
6.6030000000e-01 0.0000000000e+00 -4.6311361650e-01 6.1688638350e-01 
6.6896000000e-01 0.0000000000e+00 -4.5945940981e-01 6.2054059019e-01 
6.6991000000e-01 0.0000000000e+00 -4.5900111705e-01 6.2099888295e-01 
6.7858000000e-01 0.0000000000e+00 -4.5572953893e-01 6.2427046107e-01 
6.7953000000e-01 0.0000000000e+00 -4.5531891172e-01 6.2468108828e-01 
6.8819000000e-01 0.0000000000e+00 -4.5238344919e-01 6.2761655081e-01 
6.8914000000e-01 0.0000000000e+00 -4.5201475734e-01 6.2798524266e-01 
6.9781000000e-01 0.0000000000e+00 -4.4937583702e-01 6.3062416298e-01 
6.9876000000e-01 0.0000000000e+00 -4.4904419294e-01 6.3095580706e-01 
7.0742000000e-01 0.0000000000e+00 -4.4666793405e-01 6.3333206595e-01 
7.0837000000e-01 0.0000000000e+00 -4.4636914414e-01 6.3363085586e-01 
7.1704000000e-01 0.0000000000e+00 -4.4422637279e-01 6.3577362721e-01 
7.1799000000e-01 0.0000000000e+00 -4.4395681906e-01 6.3604318094e-01 
7.2665000000e-01 0.0000000000e+00 -4.4202228076e-01 6.3797771924e-01 
7.2760000000e-01 0.0000000000e+00 -4.4177882553e-01 6.3822117447e-01 
7.3627000000e-01 0.0000000000e+00 -4.4003054908e-01 6.3996945092e-01 
7.3722000000e-01 0.0000000000e+00 -4.3981045791e-01 6.4018954209e-01 
7.4588000000e-01 0.0000000000e+00 -4.3822923914e-01 6.4177076086e-01 
7.4684000000e-01 0.0000000000e+00 -4.3803011902e-01 6.4196988098e-01 
7.5550000000e-01 0.0000000000e+00 -4.3659910628e-01 6.4340089372e-01 
7.5645000000e-01 0.0000000000e+00 -4.3641885422e-01 6.4358114578e-01 
7.6511000000e-01 0.0000000000e+00 -4.3512320152e-01 6.4487679848e-01 
7.6607000000e-01 0.0000000000e+00 -4.3495996240e-01 6.4504003760e-01 
7.7473000000e-01 0.0000000000e+00 -4.3378654469e-01 6.4621345531e-01 
7.7568000000e-01 0.0000000000e+00 -4.3363867711e-01 6.4636132289e-01 
7.8435000000e-01 0.0000000000e+00 -4.3257585511e-01 6.4742414489e-01 
7.8530000000e-01 0.0000000000e+00 -4.3244190167e-01 6.4755809833e-01 
7.9396000000e-01 0.0000000000e+00 -4.3147932815e-01 6.4852067185e-01 
7.9491000000e-01 0.0000000000e+00 -4.3135799222e-01 6.4864200778e-01 
8.0358000000e-01 0.0000000000e+00 -4.3048644441e-01 6.4951355559e-01 
8.0453000000e-01 0.0000000000e+00 -4.3037656914e-01 6.4962343086e-01 
8.1319000000e-01 0.0000000000e+00 -4.2958781178e-01 6.5041218822e-01 
8.1414000000e-01 0.0000000000e+00 -4.2948836353e-01 6.5051163647e-01 
8.2281000000e-01 0.0000000000e+00 -4.2877503085e-01 6.5122496915e-01 
8.2376000000e-01 0.0000000000e+00 -4.2868508458e-01 6.5131491542e-01 
8.3242000000e-01 0.0000000000e+00 -4.2804058207e-01 6.5195941793e-01 
8.3337000000e-01 0.0000000000e+00 -4.2795930906e-01 6.5204069094e-01 
8.4204000000e-01 0.0000000000e+00 -4.2737772787e-01 6.5262227213e-01 
8.4299000000e-01 0.0000000000e+00 -4.2730438503e-01 6.5269561497e-01 
8.5165000000e-01 0.0000000000e+00 -4.2678043172e-01 6.5321956828e-01 
8.5260000000e-01 0.0000000000e+00 -4.2671435316e-01 6.5328564684e-01 
8.6127000000e-01 0.0000000000e+00 -4.2624328208e-01 6.5375671792e-01 
8.6222000000e-01 0.0000000000e+00 -4.2618387061e-01 6.5381612939e-01 
8.7088000000e-01 0.0000000000e+00 -4.2576143800e-01 6.5423856200e-01 
8.7184000000e-01 0.0000000000e+00 -4.2570815919e-01 6.5429184081e-01 
8.8050000000e-01 0.0000000000e+00 -4.2533057089e-01 6.5466942911e-01 
8.8145000000e-01 0.0000000000e+00 -4.2528294692e-01 6.5471705308e-01 
8.9011000000e-01 0.0000000000e+00 -4.2494682052e-01 6.5505317948e-01 
8.9107000000e-01 0.0000000000e+00 -4.2490442536e-01 6.5509557464e-01 
8.9973000000e-01 0.0000000000e+00 -4.2460675689e-01 6.5539324311e-01 
9.0068000000e-01 0.0000000000e+00 -4.2456921190e-01 6.5543078810e-01 
9.0935000000e-01 0.0000000000e+00 -4.2430734517e-01 6.5569265483e-01 
9.1030000000e-01 0.0000000000e+00 -4.2427431559e-01 6.5572568441e-01 
9.1896000000e-01 0.0000000000e+00 -4.2404591337e-01 6.5595408663e-01 
9.1991000000e-01 0.0000000000e+00 -4.2401710461e-01 6.5598289539e-01 
9.2858000000e-01 0.0000000000e+00 -4.2382013332e-01 6.5617986668e-01 
9.2953000000e-01 0.0000000000e+00 -4.2379528890e-01 6.5620471110e-01 
9.3819000000e-01 0.0000000000e+00 -4.2362799246e-01 6.5637200754e-01 
9.3914000000e-01 0.0000000000e+00 -4.2360689094e-01 6.5639310906e-01 
9.4781000000e-01 0.0000000000e+00 -4.2346777908e-01 6.5653222092e-01 
9.4876000000e-01 0.0000000000e+00 -4.2345023270e-01 6.5654976730e-01 
9.5742000000e-01 0.0000000000e+00 -4.2333806653e-01 6.5666193347e-01 
9.5837000000e-01 0.0000000000e+00 -4.2332391877e-01 6.5667608123e-01 
9.6704000000e-01 0.0000000000e+00 -4.2323769816e-01 6.5676230184e-01 
9.6799000000e-01 0.0000000000e+00 -4.2322682302e-01 6.5677317698e-01 
9.7665000000e-01 0.0000000000e+00 -4.2316578031e-01 6.5683421969e-01 
9.7760000000e-01 0.0000000000e+00 -4.2315808078e-01 6.5684191922e-01 
9.8627000000e-01 0.0000000000e+00 -4.2312167086e-01 6.5687832914e-01 
9.8722000000e-01 0.0000000000e+00 -4.2311707854e-01 6.5688292146e-01 
9.9588000000e-01 0.0000000000e+00 -4.2310497884e-01 6.5689502116e-01 
9.9684000000e-01 0.0000000000e+00 -4.2310345256e-01 6.5689654744e-01 
9.9779000000e-01 0.0000000000e+00 -4.2310497884e-01 6.5689502116e-01 
1.0064500000e+00 0.0000000000e+00 -4.2311707854e-01 6.5688292146e-01 
1.0074000000e+00 0.0000000000e+00 -4.2312167086e-01 6.5687832914e-01 
1.0160700000e+00 0.0000000000e+00 -4.2315808078e-01 6.5684191922e-01 
1.0170200000e+00 0.0000000000e+00 -4.2316578021e-01 6.5683421979e-01 
1.0256800000e+00 0.0000000000e+00 -4.2322682292e-01 6.5677317708e-01 
1.0266300000e+00 0.0000000000e+00 -4.2323769816e-01 6.5676230184e-01 
1.0353000000e+00 0.0000000000e+00 -4.2332391877e-01 6.5667608123e-01 
1.0362500000e+00 0.0000000000e+00 -4.2333806653e-01 6.5666193347e-01 
1.0449100000e+00 0.0000000000e+00 -4.2345023270e-01 6.5654976730e-01 
1.0458600000e+00 0.0000000000e+00 -4.2346777908e-01 6.5653222092e-01 
1.0545300000e+00 0.0000000000e+00 -4.2360689094e-01 6.5639310906e-01 
1.0554800000e+00 0.0000000000e+00 -4.2362799246e-01 6.5637200754e-01 
1.0641400000e+00 0.0000000000e+00 -4.2379528890e-01 6.5620471110e-01 
1.0650900000e+00 0.0000000000e+00 -4.2382013332e-01 6.5617986668e-01 
1.0737600000e+00 0.0000000000e+00 -4.2401710461e-01 6.5598289539e-01 
1.0747100000e+00 0.0000000000e+00 -4.2404591337e-01 6.5595408663e-01 
1.0833700000e+00 0.0000000000e+00 -4.2427431469e-01 6.5572568531e-01 
1.0843300000e+00 0.0000000000e+00 -4.2430734427e-01 6.5569265573e-01 
1.0929900000e+00 0.0000000000e+00 -4.2456921190e-01 6.5543078810e-01 
1.0939400000e+00 0.0000000000e+00 -4.2460675689e-01 6.5539324311e-01 
1.1026000000e+00 0.0000000000e+00 -4.2490442536e-01 6.5509557464e-01 
1.1035600000e+00 0.0000000000e+00 -4.2494682052e-01 6.5505317948e-01 
1.1122200000e+00 0.0000000000e+00 -4.2528294692e-01 6.5471705308e-01 
1.1131700000e+00 0.0000000000e+00 -4.2533057089e-01 6.5466942911e-01 
1.1218400000e+00 0.0000000000e+00 -4.2570815919e-01 6.5429184081e-01 
1.1227900000e+00 0.0000000000e+00 -4.2576143800e-01 6.5423856200e-01 
1.1314500000e+00 0.0000000000e+00 -4.2618387061e-01 6.5381612939e-01 
1.1324000000e+00 0.0000000000e+00 -4.2624328208e-01 6.5375671792e-01 
1.1410700000e+00 0.0000000000e+00 -4.2671435226e-01 6.5328564774e-01 
1.1420200000e+00 0.0000000000e+00 -4.2678043081e-01 6.5321956919e-01 
1.1506800000e+00 0.0000000000e+00 -4.2730438503e-01 6.5269561497e-01 
1.1516300000e+00 0.0000000000e+00 -4.2737772787e-01 6.5262227213e-01 
1.1603000000e+00 0.0000000000e+00 -4.2795930906e-01 6.5204069094e-01 
1.1612500000e+00 0.0000000000e+00 -4.2804058207e-01 6.5195941793e-01 
1.1699100000e+00 0.0000000000e+00 -4.2868508458e-01 6.5131491542e-01 
1.1708600000e+00 0.0000000000e+00 -4.2877503085e-01 6.5122496915e-01 
1.1795300000e+00 0.0000000000e+00 -4.2948836353e-01 6.5051163647e-01 
1.1804800000e+00 0.0000000000e+00 -4.2958781168e-01 6.5041218832e-01 
1.1891400000e+00 0.0000000000e+00 -4.3037656904e-01 6.4962343096e-01 
1.1900900000e+00 0.0000000000e+00 -4.3048644431e-01 6.4951355569e-01 
1.1987600000e+00 0.0000000000e+00 -4.3135799213e-01 6.4864200787e-01 
1.1997100000e+00 0.0000000000e+00 -4.3147932815e-01 6.4852067185e-01 
1.2083700000e+00 0.0000000000e+00 -4.3244190167e-01 6.4755809833e-01 
1.2093300000e+00 0.0000000000e+00 -4.3257585501e-01 6.4742414499e-01 
1.2179900000e+00 0.0000000000e+00 -4.3363867611e-01 6.4636132389e-01 
1.2189400000e+00 0.0000000000e+00 -4.3378654379e-01 6.4621345621e-01 
1.2276000000e+00 0.0000000000e+00 -4.3495996240e-01 6.4504003760e-01 
1.2285600000e+00 0.0000000000e+00 -4.3512320142e-01 6.4487679858e-01 
1.2372200000e+00 0.0000000000e+00 -4.3641885412e-01 6.4358114588e-01 
1.2381700000e+00 0.0000000000e+00 -4.3659910618e-01 6.4340089382e-01 
1.2468400000e+00 0.0000000000e+00 -4.3803011892e-01 6.4196988108e-01 
1.2477900000e+00 0.0000000000e+00 -4.3822923904e-01 6.4177076096e-01 
1.2564500000e+00 0.0000000000e+00 -4.3981045691e-01 6.4018954309e-01 
1.2574000000e+00 0.0000000000e+00 -4.4003054808e-01 6.3996945192e-01 
1.2660700000e+00 0.0000000000e+00 -4.4177882543e-01 6.3822117457e-01 
1.2670200000e+00 0.0000000000e+00 -4.4202228076e-01 6.3797771924e-01 
1.2756800000e+00 0.0000000000e+00 -4.4395681906e-01 6.3604318094e-01 
1.2766300000e+00 0.0000000000e+00 -4.4422637279e-01 6.3577362721e-01 
1.2853000000e+00 0.0000000000e+00 -4.4636914324e-01 6.3363085676e-01 
1.2862500000e+00 0.0000000000e+00 -4.4666793305e-01 6.3333206695e-01 
1.2949100000e+00 0.0000000000e+00 -4.4904419284e-01 6.3095580716e-01 
1.2958600000e+00 0.0000000000e+00 -4.4937583692e-01 6.3062416308e-01 
1.3045300000e+00 0.0000000000e+00 -4.5201475724e-01 6.2798524276e-01 
1.3054800000e+00 0.0000000000e+00 -4.5238344919e-01 6.2761655081e-01 
1.3141400000e+00 0.0000000000e+00 -4.5531891172e-01 6.2468108828e-01 
1.3150900000e+00 0.0000000000e+00 -4.5572953884e-01 6.2427046116e-01 
1.3237600000e+00 0.0000000000e+00 -4.5900111695e-01 6.2099888305e-01 
1.3247100000e+00 0.0000000000e+00 -4.5945940981e-01 6.2054059019e-01 
1.3333700000e+00 0.0000000000e+00 -4.6311361650e-01 6.1688638350e-01 
1.3343300000e+00 0.0000000000e+00 -4.6362633671e-01 6.1637366329e-01 
1.3429900000e+00 0.0000000000e+00 -4.6771820943e-01 6.1228179057e-01 
1.3439400000e+00 0.0000000000e+00 -4.6829339101e-01 6.1170660899e-01 
