EXPORTED CROSS SECTION DATA
284 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
6.2088000000e-01 -6.9187900525e-01 -8.8631530561e-01 1.9368469439e-01 
6.2184000000e-01 -6.8692304695e-01 -8.8233106121e-01 1.9766893879e-01 
6.3050000000e-01 -6.4782842271e-01 -8.5370086818e-01 2.2629913182e-01 
6.3145000000e-01 -6.4327497685e-01 -8.5011099203e-01 2.2988900797e-01 
6.4011000000e-01 -6.0698526110e-01 -8.2423285318e-01 2.5576714682e-01 
6.4107000000e-01 -6.0279521236e-01 -8.2098409648e-01 2.5901590352e-01 
6.4973000000e-01 -5.6914285908e-01 -7.9749623718e-01 2.8250376282e-01 
6.5068000000e-01 -5.6528036298e-01 -7.9454441952e-01 2.8545558048e-01 
6.5935000000e-01 -5.3406936045e-01 -7.7314540956e-01 3.0685459044e-01 
6.6030000000e-01 -5.3050191660e-01 -7.7045359158e-01 3.0954640842e-01 
6.6896000000e-01 -5.0152917835e-01 -7.5089039235e-01 3.2910960765e-01 
6.6991000000e-01 -4.9822763233e-01 -7.4842747105e-01 3.3157252895e-01 
6.7858000000e-01 -4.7129665020e-01 -7.3048620285e-01 3.4951379715e-01 
6.7953000000e-01 -4.6823505358e-01 -7.2822581851e-01 3.5177418149e-01 
6.8819000000e-01 -4.4316291747e-01 -7.1172456148e-01 3.6827543852e-01 
6.8914000000e-01 -4.4031828838e-01 -7.0964424093e-01 3.7035575907e-01 
6.9781000000e-01 -4.1693850465e-01 -6.9442735681e-01 3.8557264319e-01 
6.9876000000e-01 -4.1429054268e-01 -6.9250783336e-01 3.8749216664e-01 
7.0742000000e-01 -3.9245355674e-01 -6.7844145510e-01 4.0155854490e-01 
7.0837000000e-01 -3.8998434984e-01 -6.7666612651e-01 4.0333387349e-01 
7.1704000000e-01 -3.6955691723e-01 -6.6363453614e-01 4.1636546386e-01 
7.1799000000e-01 -3.6725066595e-01 -6.6198902727e-01 4.1801097273e-01 
7.2665000000e-01 -3.4811464316e-01 -6.4989173304e-01 4.3010826696e-01 
7.2760000000e-01 -3.4595740950e-01 -6.4836354181e-01 4.3163645819e-01 
7.3627000000e-01 -3.2800823402e-01 -6.3711289951e-01 4.4288710049e-01 
7.3722000000e-01 -3.2598771851e-01 -6.3569110732e-01 4.4430889268e-01 
7.4588000000e-01 -3.0913279145e-01 -6.2521036688e-01 4.5478963312e-01 
7.4684000000e-01 -3.0723813073e-01 -6.2388540077e-01 4.5611459923e-01 
7.5550000000e-01 -2.9139530767e-01 -6.1410709796e-01 4.6589290204e-01 
7.5645000000e-01 -2.8961689037e-01 -6.1287053402e-01 4.6712946598e-01 
7.6511000000e-01 -2.7471319017e-01 -6.0373515966e-01 4.7626484034e-01 
7.6607000000e-01 -2.7304249360e-01 -6.0257955969e-01 4.7742044031e-01 
7.7473000000e-01 -2.5901301542e-01 -5.9403444056e-01 4.8596555944e-01 
7.7568000000e-01 -2.5744246436e-01 -5.9295321487e-01 4.8704678513e-01 
7.8435000000e-01 -2.4422947130e-01 -5.8495158483e-01 4.9504841517e-01 
7.8530000000e-01 -2.4275232008e-01 -5.8393887793e-01 4.9606112207e-01 
7.9396000000e-01 -2.3030443099e-01 -5.7643909035e-01 5.0356090965e-01 
7.9491000000e-01 -2.2891466207e-01 -5.7548968323e-01 5.0451031677e-01 
8.0358000000e-01 -2.1718611271e-01 -5.6845453891e-01 5.1154546109e-01 
8.0453000000e-01 -2.1587834653e-01 -5.6756376760e-01 5.1243623240e-01 
8.1319000000e-01 -2.0482829940e-01 -5.6095995518e-01 5.1904004482e-01 
8.1414000000e-01 -2.0359771211e-01 -5.6012363954e-01 5.1987636046e-01 
8.2281000000e-01 -1.9318958789e-01 -5.5392124271e-01 5.2607875729e-01 
8.2376000000e-01 -1.9203183474e-01 -5.5313562697e-01 5.2686437303e-01 
8.3242000000e-01 -1.8223267349e-01 -5.4730771356e-01 5.3269228644e-01 
8.3337000000e-01 -1.8114382063e-01 -5.4656941452e-01 5.3343058548e-01 
8.4204000000e-01 -1.7192364926e-01 -5.4109167069e-01 5.3890832931e-01 
8.4299000000e-01 -1.7090012206e-01 -5.4039763282e-01 5.3960236718e-01 
8.5165000000e-01 -1.6223126146e-01 -5.3524805856e-01 5.4475194144e-01 
8.5260000000e-01 -1.6126983541e-01 -5.3459551536e-01 5.4540448464e-01 
8.6127000000e-01 -1.5312572912e-01 -5.2975414511e-01 5.5024585489e-01 
8.6222000000e-01 -1.5222366584e-01 -5.2914058538e-01 5.5085941462e-01 
8.7088000000e-01 -1.4455655388e-01 -5.2458925653e-01 5.5541074347e-01 
8.7184000000e-01 -1.4370570563e-01 -5.2401239465e-01 5.5598760535e-01 
8.8050000000e-01 -1.3639927718e-01 -5.1973453758e-01 5.6026546242e-01 
